Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost,Included / International,Price / International,Compare At Price / International,Status
shimmer-silk-beige-occasional-wear-mirror-work-readymade-plazzo-suit,,,,,,,,,44,,Beige,,,LXM-389855-44,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,,,,,kg,,,,,,
shimmer-silk-sky-blue-occasional-wear-mirror-work-readymade-plazzo-suit,Shimmer Silk Sky Blue Occasional Wear Mirror Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, mirror-work, occasional-wear, shimmer-silk, sky-blue, wedding-suit",TRUE,Size,40,Color,Sky blue,,,LXM-389854-40,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,FALSE,Shimmer Silk Sky Blue Occasional Wear Mirror Work Readyma...,Shop this Sky Blue Shimmer Silk wedding suit for occasional wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
shimmer-silk-sky-blue-occasional-wear-mirror-work-readymade-plazzo-suit,,,,,,,,,42,,Sky blue,,,LXM-389854-42,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,,,,,kg,,,,,,
shimmer-silk-sky-blue-occasional-wear-mirror-work-readymade-plazzo-suit,,,,,,,,,44,,Sky blue,,,LXM-389854-44,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,,,,,kg,,,,,,
shimmer-silk-black-occasional-wear-mirror-work-readymade-plazzo-suit,Shimmer Silk Black Occasional Wear Mirror Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"black, bridal-suit, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, mirror-work, occasional-wear, shimmer-silk, wedding-suit",TRUE,Size,40,Color,Black,,,LXM-389853-40,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,FALSE,Shimmer Silk Black Occasional Wear Mirror Work Readymade ...,Shop this Black Shimmer Silk wedding suit for occasional wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
shimmer-silk-black-occasional-wear-mirror-work-readymade-plazzo-suit,,,,,,,,,42,,Black,,,LXM-389853-42,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,,,,,kg,,,,,,
shimmer-silk-black-occasional-wear-mirror-work-readymade-plazzo-suit,,,,,,,,,44,,Black,,,LXM-389853-44,,shopify,10,deny,manual,91.53,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-hot-pink-eid-wear-embroidery-work-readymade-plazzo-suit,Chinon Hot Pink Eid Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon, eid-wear, embroidery-work, ethnic-suit, free-shipping, hot-pink, indian-ethnic-wear, indian-suit, luxemia, wedding-suit",TRUE,Size,38,Color,Hot pink,,,LXM-389852-38,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,FALSE,Chinon Hot Pink Eid Wear Embroidery Work Readymade Palazz...,Shop this Hot Pink Chinon wedding suit for eid wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-hot-pink-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,40,,Hot pink,,,LXM-389852-40,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-hot-pink-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,42,,Hot pink,,,LXM-389852-42,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-hot-pink-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,44,,Hot pink,,,LXM-389852-44,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-lime-green-eid-wear-embroidery-work-readymade-plazzo-suit,Chinon Lime Green Eid Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon, eid-wear, embroidery-work, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, lime-green, luxemia, wedding-suit",TRUE,Size,38,Color,Lime green,,,LXM-389851-38,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,FALSE,Chinon Lime Green Eid Wear Embroidery Work Readymade Pala...,Shop this Lime Green Chinon wedding suit for eid wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-lime-green-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,40,,Lime green,,,LXM-389851-40,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-lime-green-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,42,,Lime green,,,LXM-389851-42,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-lime-green-eid-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,44,,Lime green,,,LXM-389851-44,,shopify,10,deny,manual,85.24,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-lime-green-wedding-wear-beads-work-readymade-plazzo-suit,Georgette Lime Green Wedding Wear Beads Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"beads-work, bridal-suit, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, lime-green, luxemia, wedding-suit, wedding-wear",TRUE,Size,40,Color,Lime green,,,LXM-389844-40,,shopify,10,deny,manual,135.54,,TRUE,TRUE,,,,,FALSE,Georgette Lime Green Wedding Wear Beads Work Readymade Pa...,Shop this Lime Green Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-lime-green-wedding-wear-beads-work-readymade-plazzo-suit,,,,,,,,,42,,Lime green,,,LXM-389844-42,,shopify,10,deny,manual,135.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-off-white-wedding-wear-beads-work-readymade-plazzo-suit,Georgette Off White Wedding Wear Beads Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"beads-work, bridal-suit, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, luxemia, off-white, wedding-suit, wedding-wear",TRUE,Size,40,Color,Off white,,,LXM-389843-40,,shopify,10,deny,manual,135.54,,TRUE,TRUE,,,,,FALSE,Georgette Off White Wedding Wear Beads Work Readymade Pal...,Shop this Off White Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-off-white-wedding-wear-beads-work-readymade-plazzo-suit,,,,,,,,,42,,Off white,,,LXM-389843-42,,shopify,10,deny,manual,135.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-cherry-wedding-wear-beads-work-readymade-plazzo-suit,Georgette Cherry Wedding Wear Beads Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"beads-work, bridal-suit, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, luxemia, wedding-suit, wedding-wear",TRUE,Size,40,Color,Cherry,,,LXM-389842-40,,shopify,10,deny,manual,135.54,,TRUE,TRUE,,,,,FALSE,Georgette Cherry Wedding Wear Beads Work Readymade Palazz...,Shop this Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-cherry-wedding-wear-beads-work-readymade-plazzo-suit,,,,,,,,,42,,Cherry,,,LXM-389842-42,,shopify,10,deny,manual,135.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-black-wedding-wear-embroidery-work-readywar-plazzo-suit,Georgette Black Wedding Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"black, bridal-suit, embroidery-work, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, luxemia, wedding-suit, wedding-wear",TRUE,Size,36,Color,Black,,,LXM-389748-36,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,FALSE,Georgette Black Wedding Wear Embroidery Work Readymade Pa...,Shop this Black Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-black-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,38,,Black,,,LXM-389748-38,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-black-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,40,,Black,,,LXM-389748-40,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-black-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,42,,Black,,,LXM-389748-42,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-black-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,44,,Black,,,LXM-389748-44,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-purple-wedding-wear-embroidery-work-readywar-plazzo-suit,Georgette Purple Wedding Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, embroidery-work, ethnic-suit, free-shipping, georgette, indian-ethnic-wear, indian-suit, luxemia, purple, wedding-suit, wedding-wear",TRUE,Size,36,Color,Purple,,,LXM-389747-36,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,FALSE,Georgette Purple Wedding Wear Embroidery Work Readymade P...,Shop this Purple Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-purple-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,38,,Purple,,,LXM-389747-38,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-purple-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,40,,Purple,,,LXM-389747-40,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-purple-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,42,,Purple,,,LXM-389747-42,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
georgette-purple-wedding-wear-embroidery-work-readywar-plazzo-suit,,,,,,,,,44,,Purple,,,LXM-389747-44,,shopify,10,deny,manual,119.37,,TRUE,TRUE,,,,,,,,,kg,,,,,,
crepe-silk-multi-color-party-wear-embroidery-work-readymade-plazzo-suit,Crepe Silk Multi Color Party Wear Embroidery Work Readymade Palazzo Suit,,LuxeMia,,Salwar Kameez,"crepe-silk, embroidery-work, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, multi-color, palazzo-suit, party-wear, salwar-kameez, salwar-suit",TRUE,Color,Multi Color,Size,Free Size,,,,,shopify,10,deny,manual,93.99,134.41,TRUE,TRUE,,,,,FALSE,Crepe Silk Multi Color Party Wear Embroidery Work Readyma...,Shop this Multi Color Crepe Silk salwar kameez for party wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
crepe-silk-multi-color-party-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,Multi Color,,XS,,,,,shopify,5,deny,manual,93.99,134.41,TRUE,TRUE,,,,,,,,,kg,,,,,,
crepe-silk-multi-color-party-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,Multi Color,,S,,,,,shopify,5,deny,manual,93.99,134.41,TRUE,TRUE,,,,,,,,,kg,,,,,,
crepe-silk-multi-color-party-wear-embroidery-work-readymade-plazzo-suit,,,,,,,,,Multi Color,,M,,,,,shopify,5,deny,manual,93.99,134.41,TRUE,TRUE,,,,,,,,,kg,,,,,,
